epoch,train_loss,val_loss,val_psnr,val_ssim
7,0.007816,0.008129,36.8936,0.9901
1,0.827438,0.623657,15.8544,0.2087
2,0.724366,0.643005,15.1959,0.1908
3,0.773675,0.659312,14.3945,0.1800
4,0.844015,0.667648,12.8887,0.1812
5,0.728727,0.452685,20.1675,0.4128
6,0.795758,0.664833,10.7965,0.1757
8,0.007643,0.008082,36.9022,0.9902
7,1.043151,0.607479,15.5661,0.2258
8,0.895154,0.788045,4.4809,0.1383
9,0.779658,0.853180,1.7441,0.1223
10,0.782194,0.662198,15.1474,0.1706
11,0.612912,0.610075,21.7117,0.2111
12,0.528587,0.062112,23.7858,0.9257
9,0.007744,0.008047,36.9098,0.9902
13,0.075831,0.030415,33.2138,0.9619
14,0.050982,0.025753,34.3428,0.9679
15,0.044581,0.024278,31.8209,0.9709
16,0.038258,0.023938,33.5426,0.9705
17,0.058883,0.025115,31.2687,0.9701
10,0.007652,0.008124,36.9139,0.9901
18,0.035091,0.022406,32.3514,0.9731
19,0.040086,0.024591,31.6387,0.9706
20,0.033364,0.023234,34.3577,0.9712
21,0.032118,0.021987,34.5815,0.9728
22,0.030554,0.024757,28.4632,0.9721
23,0.029118,0.021516,34.3579,0.9736
11,0.007595,0.008017,36.9115,0.9903
24,0.028433,0.022388,33.7285,0.9727
25,0.028607,0.022225,31.7512,0.9738
26,0.046474,0.025501,30.2492,0.9695
27,0.028610,0.020966,34.2014,0.9742
28,0.027528,0.021659,33.2137,0.9737
12,0.007556,0.007996,36.9160,0.9903
29,0.027245,0.021380,33.8457,0.9738
30,0.026924,0.020895,34.2319,0.9745
31,0.027182,0.021367,33.2711,0.9742
32,0.026918,0.022493,33.8359,0.9727
33,0.027984,0.020918,33.6795,0.9745
34,0.026879,0.020682,34.6993,0.9745
13,0.007621,0.010054,36.9102,0.9877
35,0.026548,0.022658,32.7034,0.9727
36,0.026873,0.034390,33.6775,0.9568
37,0.026697,0.025482,32.3318,0.9691
38,0.026696,0.027298,32.9331,0.9665
39,0.283815,0.195513,11.5243,0.7765
40,0.799349,0.109875,23.9113,0.8630
14,0.007569,0.008007,36.9130,0.9903
41,0.233559,0.026742,33.5427,0.9670
42,0.041675,0.027742,32.1070,0.9663
43,0.031508,0.023133,34.6758,0.9713
44,0.028635,0.023280,32.9329,0.9718
15,0.883671,0.789357,6.3411,0.1046
16,0.559796,0.008489,36.9130,0.9897
17,0.007575,0.008138,36.9229,0.9901
18,0.007676,0.008109,36.9167,0.9901
19,0.007478,0.008097,36.9153,0.9901
20,0.007450,0.008080,36.9146,0.9902
21,0.007457,0.008087,36.9123,0.9902
22,0.007580,0.008313,36.9150,0.9899
