file,PSNR,SSIM,MAE,RMSE,Inference_time_ms,Params_M,MACs_G
CQ500CT115 CQ500CT115.npy,30.329440910258413,0.6707799857514196,0.07373444913223816,0.08802041809123973,28.729045819013546,7.689087,26.756873402
CQ500CT118 CQ500CT118.npy,35.041433104801854,0.7862946764502536,0.04473640323759845,0.054245756561776756,28.729045819013546,7.689087,26.756873402
CQ500CT131 CQ500CT131.npy,27.595483441122177,0.650396565407886,0.16489547299436078,0.18221714734462155,28.729045819013546,7.689087,26.756873402
CQ500CT133 CQ500CT133.npy,23.92027862437643,0.5477913772763818,0.2167617454086072,0.2328891221589196,28.729045819013546,7.689087,26.756873402
CQ500CT134 CQ500CT134.npy,26.044552473371137,0.645114102415816,0.19235430472673706,0.21056407139941516,28.729045819013546,7.689087,26.756873402
CQ500CT157 CQ500CT157.npy,26.686204859545498,0.6591007740298542,0.18278106167697564,0.19475848976105758,28.729045819013546,7.689087,26.756873402
CQ500CT161 CQ500CT161.npy,31.304189913842922,0.7224315533481227,0.11960643601532166,0.13273823635823065,28.729045819013546,7.689087,26.756873402
CQ500CT169 CQ500CT169.npy,26.718654184574945,0.5793814737584657,0.1282797246813201,0.14407311569895553,28.729045819013546,7.689087,26.756873402
CQ500CT170 CQ500CT170.npy,25.89554546857784,0.5609460257638738,0.13139518754771695,0.1510907374658195,28.729045819013546,7.689087,26.756873402
CQ500CT176 CQ500CT176.npy,29.6992002804691,0.6814702401521846,0.1256739348029861,0.13504456279795338,28.729045819013546,7.689087,26.756873402
CQ500CT19 CQ500CT19.npy,23.342746767518715,0.7834012936168604,0.044824516336218666,0.06981739370763945,28.729045819013546,7.689087,26.756873402
CQ500CT215 CQ500CT215.npy,22.103887744073596,0.7553464046754191,0.052845421977914295,0.07912613361000236,28.729045819013546,7.689087,26.756873402
CQ500CT218 CQ500CT218.npy,24.073761086081937,0.8293241008023019,0.04768641119679579,0.0636671057993611,28.729045819013546,7.689087,26.756873402
CQ500CT22 CQ500CT22.npy,29.30611816620523,0.9349208942055998,0.024724723799870563,0.03565942670439534,28.729045819013546,7.689087,26.756873402
CQ500CT220 CQ500CT220.npy,26.077647921516327,0.8798205407255943,0.031019616893564278,0.05001625813257672,28.729045819013546,7.689087,26.756873402
CQ500CT223 CQ500CT223.npy,21.859103165707314,0.7857001776452255,0.058655123584545575,0.08467450687459199,28.729045819013546,7.689087,26.756873402
CQ500CT224 CQ500CT224.npy,28.669360533236716,0.6694566135210551,0.1437508626232067,0.1576719553877241,28.729045819013546,7.689087,26.756873402
CQ500CT225 CQ500CT225.npy,23.25984319552798,0.8384401524326598,0.0417937138905892,0.06894762622433924,28.729045819013546,7.689087,26.756873402
CQ500CT228 CQ500CT228.npy,6.434442191840551,0.33248924973288496,0.6609989432474741,0.670073454261295,28.729045819013546,7.689087,26.756873402
CQ500CT237 CQ500CT237.npy,21.483188051804973,0.722927280782919,0.05906122795377786,0.08447925065427567,28.729045819013546,7.689087,26.756873402
CQ500CT240 CQ500CT240.npy,27.448240972285056,0.6321291841029346,0.1754516540498186,0.18859384804618193,28.729045819013546,7.689087,26.756873402
CQ500CT241 CQ500CT241.npy,24.561205629678717,0.808858009442939,0.04060317586677579,0.06000983129660914,28.729045819013546,7.689087,26.756873402
CQ500CT243 CQ500CT243.npy,24.443210382175625,0.8160352615158307,0.039672897139994,0.061229025042361475,28.729045819013546,7.689087,26.756873402
CQ500CT247 CQ500CT247.npy,27.373047299090853,0.639654713679302,0.17281017543103258,0.19155003207746443,28.729045819013546,7.689087,26.756873402
CQ500CT248 CQ500CT248.npy,21.154821827782005,0.7609273332562155,0.06302749632069697,0.08788364176614592,28.729045819013546,7.689087,26.756873402
CQ500CT250 CQ500CT250.npy,26.404444395821056,0.9074451779142144,0.0291411392748929,0.047946021919347916,28.729045819013546,7.689087,26.756873402
CQ500CT251 CQ500CT251.npy,23.725354792291363,0.8070002380953442,0.03802872676975452,0.06649482858072023,28.729045819013546,7.689087,26.756873402
CQ500CT253 CQ500CT253.npy,25.091975357547227,0.8555972765229434,0.033742166675913794,0.05730483207611117,28.729045819013546,7.689087,26.756873402
CQ500CT254 CQ500CT254.npy,4.888760670222521,0.2663701053134436,0.7254175364398039,0.7331792154714539,28.729045819013546,7.689087,26.756873402
CQ500CT255 CQ500CT255.npy,29.288082803708825,0.9219160527082186,0.02278605564855612,0.0352714030701074,28.729045819013546,7.689087,26.756873402
